Study: 1.2.840.113704.1.111.9080.1103724250.1
Series: 1.2.840.113704.1.111.9080.1103724307.7
SpacingX: 0.771484375
SpacingY: 0.771484375
SpacingZ: 10.0

label: micronodules
localisation: non-relevant
slice_number: 4
nb_points_on_contour: 316
174.07934859020457 201.01816239767044
174.07934859020457 200.2663815472295
174.07934859020457 199.51460069678862
174.07934859020457 198.76281984634772
174.07934859020457 198.0110389959068
173.82875497339094 197.00866452865228
173.82875497339094 196.25688367821135
173.32756773976365 195.2545092109568
173.07697412295002 194.5027283605159
173.07697412295002 193.75094751007498
172.32519327250913 192.74857304282045
171.5734124220682 191.7461985755659
171.07222518844094 190.994417725125
170.57103795481368 190.24263687468408
169.81925710437275 189.49085602424316
169.3180698707455 188.73907517380226
168.56628902030457 188.237887940175
167.81450816986367 187.4861070897341
167.06272731942278 186.9849198561068
166.31094646898185 186.48373262247955
165.55916561854093 185.98254538885226
164.80738476810004 185.481358155225
164.0556039176591 185.23076453841136
163.30382306721822 184.47898368797047
162.5520422167773 184.2283900711568
161.8002613663364 183.72720283752955
161.0484805158955 183.47660922071591
160.29669966545458 183.22601560390228
159.29432519820003 182.97542198708862
158.2919507309455 182.47423475346136
157.28957626369095 181.9730475198341
156.28720179643642 181.47186028620683
155.5354209459955 180.97067305257957
154.53304647874094 180.46948581895228
154.03185924511368 179.46711135169772
153.28007839467278 178.7153305012568
153.02948477785912 177.9635496508159
153.02948477785912 177.211768800375
153.02948477785912 176.4599879499341
153.02948477785912 175.7082070994932
153.02948477785912 174.9564262490523
153.53067201148642 174.20464539861138
153.78126562830005 173.45286454817045
154.2824528619273 172.45049008091593
154.78364009555457 171.698709230475
155.28482732918187 170.9469283800341
156.03660817962276 170.1951475295932
156.78838903006368 169.69396029596592
157.28957626369095 168.94217944552503
158.04135711413187 168.44099221189776
158.79313796457276 167.93980497827047
159.29432519820003 167.18802412782958
160.04610604864095 167.18802412782958
160.79788689908185 166.43624327738866
161.8002613663364 165.9350560437614
162.5520422167773 165.43386881013413
163.55441668403188 165.18327519332047
164.5567911512864 164.6820879596932
165.55916561854093 164.43149434287957
166.31094646898185 164.18090072606594
167.06272731942278 163.93030710925228
167.81450816986367 163.67971349243868
168.81688263711823 163.67971349243868
169.56866348755912 163.67971349243868
170.32044433800002 163.67971349243868
171.32281880525457 163.67971349243868
172.07459965569547 163.67971349243868
173.07697412295002 163.67971349243868
174.07934859020457 163.67971349243868
175.0817230574591 163.67971349243868
176.3346911415273 163.93030710925228
177.33706560878184 163.93030710925228
178.59003369285003 164.18090072606594
179.8430017769182 164.18090072606594
180.5947826273591 164.43149434287957
181.34656347780003 164.93268157650687
182.09834432824093 164.93268157650687
182.85012517868182 165.43386881013413
183.85249964593638 165.9350560437614
185.10546773000456 166.43624327738866
186.10784219725912 166.93743051101592
186.8596230477 167.4386177446432
187.61140389814094 167.68921136145684
188.61377836539546 168.1903985950841
189.36555921583638 168.1903985950841
190.11734006627728 168.69158582871137
191.1197145335318 169.19277306233866
191.87149538397273 169.69396029596592
192.87386985122728 170.1951475295932
194.12683793529547 170.69633476322048
195.63039963617726 171.19752199684774
196.38218048661818 171.44811561366137
197.38455495387274 172.19989646410227
198.38692942112726 172.70108369772956
199.38930388838182 173.20227093135685
200.14108473882274 173.7034581649841
200.89286558926364 174.20464539861138
201.89524005651816 175.2070198658659
202.64702090695909 175.95880071630683
203.3988017574 176.71058156674775
203.89998899102727 177.46236241718864
204.40117622465456 178.4647368844432
204.90236345828183 179.46711135169772
205.15295707509543 180.21889220213865
205.65414430872272 181.22126666939317
205.90473792553635 181.9730475198341
205.90473792553635 182.97542198708862
206.15533154234998 183.9777964543432
206.40592515916362 184.98017092159773
206.65651877597725 185.73195177203866
206.9071123927909 186.9849198561068
207.40829962641817 187.98729432336137
207.6588932432318 188.9896687906159
207.90948686004546 189.74144964105682
208.1600804768591 190.74382410831134
208.1600804768591 191.49560495875227
208.41067409367272 192.4979794260068
208.41067409367272 193.50035389326135
208.41067409367272 194.25213474370224
208.41067409367272 195.00391559414317
208.41067409367272 195.7556964445841
208.1600804768591 196.50747729502498
207.6588932432318 197.76044537909317
207.15770600960454 198.51222622953406
206.65651877597725 199.51460069678862
206.15533154234998 200.2663815472295
205.65414430872272 201.01816239767044
204.90236345828183 202.02053686492496
204.40117622465456 202.7723177153659
203.3988017574 203.5240985658068
202.89761452377272 204.52647303306134
202.14583367333182 205.27825388350226
201.89524005651816 206.03003473394318
201.3940528228909 206.78181558438408
200.89286558926364 207.53359643482497
200.39167835563634 208.2853772852659
199.8904911220091 209.28775175252042
199.38930388838182 210.03953260296134
199.1387102715682 210.79131345340224
198.63752303794092 211.54309430384313
197.8857421875 212.29487515428406
197.63514857068637 213.04665600472498
197.1339613370591 213.79843685516587
196.88336772024545 214.55021770560677
196.6327741034318 215.3019985560477
196.13158686980455 216.05377940648862
195.37980601936366 217.05615387374314
195.12921240255 217.80793472418407
194.87861878573636 218.55971557462496
194.3774315521091 219.81268365869317
194.12683793529547 220.56446450913404
193.62565070166818 221.31624535957496
193.12446346804091 222.3186198268295
192.87386985122728 223.0704006772704
192.12208900078636 224.07277514452497
191.6209017671591 224.82455599496586
190.61852729990457 225.32574322859313
190.11734006627728 226.32811769584765
189.61615283265002 227.07989854628858
188.8643719822091 227.8316793967295
188.36318474858183 228.58346024717042
187.61140389814094 229.08464748079768
187.11021666451364 229.8364283312386
186.35843581407272 230.83880279849313
185.85724858044549 231.59058364893406
185.60665496363183 232.34236449937492
185.10546773000456 233.3447389666295
184.60428049637727 234.34711343388403
